query,doc,label
talk.politics.mideast,"It is all so changed by now. but in case any of you is interested in what I actually said, I never compared the Israeli treatment of the palestinians with the Holocaust. Anyway that is the truth if it matters. I was about to forget about it myself since everyone started calling me anti-semitic for making the comparison that I never made. What I did say was that the Nazis didn't start with the Holocaust and their initial actions were similar to what the Israelis are doing now. 	The Jews that were stranded on the polish border since no country accepted them are like the arabs stranded on the lebenese border. No trials, no hearing, just expulsion based on guilt due to race.  ",1
talk.politics.mideast," Are you kidding?  I'm stuck with the Toronto SkyDome, where their idea of a 7th inning stretch is that ""Blue Jays"" song where everyone gets to yell:  ""Okay, okay, Blue Jays, Blue Jays, Let's Play Ball!""  Wow.. what genius did it take to compose that one, to outshine the old classic.  And there are women on the field to ""lead the crowd"".",0
rec.motorcycles,"[ some real stupid remarks ]  ...  ...   [ lots of serious dribble for no real reason ]  ...  Hey, I don't really care, but when someone sends me email telling me to fuck off, I get rather pissed.  If he posted to the net, I could really care less, but sending mail is just childish.  Mr. Infant(e) is just that, an infant.  Give  him a few more years to grow up and maybe he'll learn some  network etiquette.  If you can't stand the flames, and you don't have the brains, Stay out of the newsgroup.  Kind of catchy n'est pas? ",1
rec.motorcycles,"We have an old Sun3/60 here which gets occasional use.  When X11R5 is started on it any console messages during startup are undeletable.  After X is fully started we run an xterm as the ""console"" - the problem is that any messages that arrive before this starts go to the plain console.  ""Refresh window"" fails to remove them.  The messages are a real pain since they sit in the middle of the screen obscuring anything else below them.  At boot time the 3/60 lists two framebuffers  -  /dev/cgfour0 and /dev/bwtwo1. We're running X in color, and I suspect that maybe the offending messages are on the B/W framebuffer, and thereby not getting deleted.  My question is: has anyone else seen this, and is there an easy way to get rid of these messages?  Please reply by e-mail to hughm@inmos.co.uk.  Hugh McIntyre. INMOS Ltd., Bristol, UK.  (BTW: SunOS 4.0.3, X11R5, mwm).",0
talk.politics.misc,"On 23 Apr 93 00:18:59 GMT, Clayton Cramer observed: : # Can someone tell me why when Mr. Cramer spouts on about homosexuals, : # he only addresses homosexual men, and never, in any post I've read, : # addressed lesbians?  Granted, I stopped reading all his posts long, long : # ago, so perhaps I missed something.   : Because women very, very seldom molest children.  Un-hunh.  Yeah.  Right.  Sure.  You know that list of things that are stereotypically American -- Mom, apple pie, etc.?  You don't hear too many stories about Mom being a child molester, because such stories would simply be unAmerican.  But that doesn't say that it doesn't happen. ",1
talk.politics.misc,"  I always like your kind of odds. The Greek governments must be held  to account for the sub-human conditions of the Turkish minority living  in the Western Thrace under the brutal Greek domination. The religious  persecution, cultural oppression and economical ex-communication applied  to the Turkish population in that area are the dimensions of the human  rights abuse widespread in Greece.  ""Greece's Housing Policies Worry Western Thrace Turks""  ...Newly built houses belonging to members of the minority community in Dedeagac province, had, he said, been destroyed by Evros province public works department on Dec. 4.  Sungar added that they had received harsh treatment by the security forces during the demolition.  ""This is not the first demolition in Dedeagac province; more than 40 houses were destroyed there between 1979-1984 and  members of that minority community were made homeless,"" he continued.   ""Greece Government Rail-Roads Two Turkish Ethnic Deputies""  While World Human Rights Organizations Scream, Greeks  Persistently Work on Removing the Parliamentary Immunity of Dr. Sadik Ahmet and Mr. Ahmet Faikoglu.  In his 65-page confession, Salman Demirok, a former chief of PKK operations in Hakkari confessed that high-level relations between PKK, Greece and Greek Cypriot administration existed.  According to Demirok, Greek Cypriot administration not only  gives shelter to PKK guerillas but also supplies them with  food and weapons at the temporary camps set up in its territory.  Demirok disclosed that PKK has three safe houses in South Cyprus,  used by terrorists such as Ferhat. In the camps, he added,  terrorists were trained to use various weapons including RPG's  and anti-aircraft guns which had been purchased directly from  the Greek government. Greek Cypriot government has gone to the  extent of issuing special identification cards to PKK members so  that they can travel from one region to another without being  confronted by legal obstacles. Demirok's account was confirmed  by another PKK defector, Fatih Tan, who gave himself over to  police in Hakkari after spending four years with PKK. Tan explained that the terrorists went through a training in camps in South Cyprus,  sometimes for a period of 12 weeks or more.           ""Torture in Greece: Hidden Reality""  Case 1: Kostas Andreadis and Dimitris Voglis.  ...Andreadis' head was covered with a hood and he was tortured by falanga (beating on the soles of the feet), electric shocks, and was threatened with being thrown out of the window. An  official medical report clearly documented this torture....  Case 2: Horst Bosniatzki, a West German Citizen.  ...At midnight he was taken to the beach, chains were put to his  feet and he was threatened to be thrown to the sea. He was dragged along the beach for about a 1.5 Km while being punched on the  head and kidneys...Back on the police station, he was beaten on the finger tips with a thin stick until one of the fingertips split open....  Case 3: Torture of Dimitris Voglis.  Case 4: Brothers Vangelis (16) and Christos Arabatzis (12),         Vasilis Papadopoulos (13), and Kostas Kiriazis (13).  Case 5: Torture of Eight Students at Thessaloniki Police         Headquarters.         SOURCE: The British Broadcasting Corporation, Summary of                World  Broadcasting -July 6, 1987: Part 4-A: The                Middle East, ME/8612/A/1.                ""Abu Nidal's Advisers"" Reportedly Training                   ""PKK & ASALA Militants"" in Cyprus         Nicosia, Ankara,  Tel Aviv. The Israeli  secret service,        Mossad,  is   reported  to  have   acquired  significant        information in connection  with the camps set  up in the        Troodos  mountains   in  Cyprus  for  the   training  of        militants of the PKK and ASALA {Armenian Secret Army for        the Liberation  of Armenia}. According to  sources close        to Mossad, about 700 Kurdish, Greek Cypriot and Armenian        militants  are   undergoing  training  in   the  Troodos        mountains in  southern Cyprus.  The same  sources stated        that Abu  Nidal's special  advisers are  giving military        training to  the PKK and  ASALA militants in  the camps.        They added that the  militants leave southern Cyprus for        Libya, Lebanon, Syria, Greece  and Iran after completing        their training.  Mossad has established that  due to the        clashes  which were  taking  place  among the  terrorist        groups based  in Syria, the PKK  and ASALA organisations        moved to  the Greek Cypriot  part of Cyprus,  where they        would  be  more  comfortable. They  also  transferred  a        number of  their camps in  northern Syria to the Troodos        mountains.         Mossad  revealed that  the  Armenian National  Movement,        which is known as the MNA, has opened liaison offices in        Nicosia, Athens and  Tripoli in order to  meet the needs        of the  camps. The offices are used to provide  material        support for the  Armenian  camps. Meanwhile, the  leader        of the  Popular Front for  the Liberation of  Palestine,        George  Habash, is  reported  to  have ordered  his  men        not  to   participate  in  the  operations  carried  out        by  the  PKK &  ASALA, which  he  described  as ""extreme        racist,  extreme  nationalist  and   fascist.""  Reliable        sources have said that  Habash believed that  the recent        operations carried  out by the PKK  militants  show that        organisation  to  be a  band  of  irregulars  engaged in        extreme  nationalist  operations.  They  added  that  he        instructed  his militants  to sever their links with the        PKK  and avoid clashing with it. It has been established        that George Habash  expelled ASALA  militants  from  his        camp  after ASALA's  connections  with  drug trafficking        were exposed.  Source: Alan Cowell, 'U.S. & Greece in Dispute on Terror,' The New         York Times, June 27, 1987, p. 4.                      Special to The New York Times  ATHENS, June 26 - A dispute developed today between Athens and  Washington over United States intelligence reports saying that  Athens, for several months, conducted negotiations with the terrorist known as Abu Nidal...  They said the contacts were verified in what were termed hard intelligence reports.  Abu Nidal leads the Palestinian splinter group Al Fatah  Revolutionary Council, implicated in the 1985 airport  bombings at Rome and Vienna that contributed to the Reagan  Administration's decision to bomb Tripoli, Libya, last year.  In Washington, State Department officials said that when Administration officials learned about the contacts, the State Department drafted a strongly worded demarche. The officials also expressed unhappiness with Greece's dealings with ASALA, the Armenian Liberation Army, which has carried out terrorist acts against Turks....   Serdar Argic",0
rec.sport.hockey,"If the Islanders beat the Devils tonight, they would finish with identical records.  Who's the lucky team that gets to face the Penguins in the opening round?   Also, can somebody list the rules for breaking ties. ",1
rec.sport.hockey," 	As I don't know this book, I will use your heresay.   	It depends on how he defines God. The way I understand the meaning of that term preclues it being used in a useful way in science. Ideas drawn from an understanding that God is supernatural precludes us from forming scientific assertions that can be falsified, that is, where we can decide that they are true or false within the terms of we use and useful observations drawn from them.  	Some religionists have an interest in bluring the definitions within science to make them more reconcilable, and especially subserviant in a basic way, to religious dogma. This pursuit always fails.   	Reconciliation of science with religion involves circumventing the tendancy to claim that either pursuit can gain absolute or certian knowledge, or that the domain of truth in each is fundementally limited in some way. It gererally confurs the element of uncertainty and limitations to human knowledge while allowing for the different concerns of these separate pursuits. Science and religion ask different questions which have imperfect and provisional answers, at best. Science is distinctly limited in where it can ask meaningful questions. More questions can be posed than it can answer. At the basis of sacred language is the place where words fail us and mere assertions disolve in contradiction.",0
talk.politics.mideast,"It is all so changed by now. but in case any of you is interested in what I actually said, I never compared the Israeli treatment of the palestinians with the Holocaust. Anyway that is the truth if it matters. I was about to forget about it myself since everyone started calling me anti-semitic for making the comparison that I never made. What I did say was that the Nazis didn't start with the Holocaust and their initial actions were similar to what the Israelis are doing now. 	The Jews that were stranded on the polish border since no country accepted them are like the arabs stranded on the lebenese border. No trials, no hearing, just expulsion based on guilt due to race.  ",1
talk.politics.mideast," Well, I have a different story to recount.  I attempted to low-level format a WD 43MB disk about a year ago.  When I understood my error, I contacted WD. They told me that I hadn't hurt the drive and that I should just run FDISK and FORMAT/S on it.  It was fine.  Also, I understand that Western Digital's BBS may have some low-level formatting routines specifically available for IDE drives.  You probably need to talk to them and get the straight scoop.",0
