query,doc,label
rec.sport.baseball,"Did anyone notice the words ""NOT FOR BASEBALL"" printed on the picture of Joe Robbie Stadium in the Opening Day season preview section in USA Today? Any reason given for this?  Also, I just noticed something looking at the Nolan Ryan timeline in the preview. On 8/22/89, Rickey Henderson became Nolan's 5000th strikeout. On 6/11/90 he pitched his 6th no-hitter against Oakland. I believe the last out in the game was made by Rickey Henderson. And on 5/1/91, Nolan pitched his 7th no-hitter on the same day a certain someone stole his 939th base, which overshadowed it. It seems that Nolan is having a lot of publicity at Rickey's expense. IMO, Rickey deserves it, and it seems as most of the net agrees with me from what I've seen on it lately. They are both great players, but IMO, Nolan has outclassed Rickey, both in playing and more importantly, in attitude. Just my thoughts.",1
rec.sport.baseball,"I was thinking about who on each of the teams were the MVPs, biggest surprises, and biggest disappointments this year. Now, these are just my observations and are admittedly lacking because I have not had an opportunity to see all the teams the same amount. Anyway....    MVP = most valuable player to his team both in terms of points and       in terms of leadership (""can't win without him"")    Biggest surprise = the player who rose above expectation -- the player       that may have raised the level of his game to a new height, even       if that new level doesn't necessarily warrant an allstar berth       (includes those players who at the outset of the season, may not       even have been in the team's plans).     Biggest disappointment = the player from whom we expected more (e.g., I       picked Denis Savard in Montreal because with the new emphasis on       offence brought by Demers, shouldn't Savard have done better?)     -----------------------------------------------------------------------                            Team           Biggest       Biggest Team:                   MVP:          Surprise:    Disappointment: ----------------------------------------------------------------------- Boston Bruins           Oates          D.Sweeney     Wesley Buffalo Sabres          Lafontaine     Mogilny       Audette (jinx?) Calgary Flames          Roberts        Reichel       Petit Chicago Blackhawks      Roenick        Ruuttu        Goulet Detroit Red Wings       Yzerman        Chaisson      Kozlov Edmonton Oilers         Manson         Buchberger    Mellanby Hartford Whalers        Sanderson      Cassells      Corriveau Los Angeles Kings       Robitaille     Donnelly      Hrudey Minnesota North Stars   Modano      Tinordi(not expected back)  Broten Montreal Canadiens      Muller         Lebeau        Savard New Jersey Devils       Stevens        Semak         MacLean New York Islanders      Turgeon        King(finally) Marois New York Rangers        Messier        Kovalev       Bourque Ottawa Senators         MacIver        Baker         Jelinek Philadelphia Flyers     Lindros/Recchi Fedyk/Galley  Eklund Pittsburgh Penguins     Lemieux        Tocchet(even for him)  Jagr Quebec Nordiques        Sakic/Ricci    Kovalenko     Pearson San Jose Sharks         Kisio          Gaudreau      Maley St Louis Blues          Shanahan       C.Joseph      Ron Sutter Tampa Bay Lightening    Bradley        Bradley       Creighton/Kasper Toronto Maple Leafs     Gilmour        Potvin        Ellett/Anderson Vancouver Canucks       Bure           Nedved(finally)    Momesso Washington Capitals     Hatcher        Bondra/Cote   Elynuik Winnipeg Jets           Selanne        Selanne       Druce ----------------------------------------------------------------------    As I mentioned up top, these are my *impressions* from where I sit. I would welcome any opinions from those fans nearer their teams (in other words, *anywhere* away from a Toronto newspaper!)",0
sci.electronics,,1
sci.electronics,"    Mr. Sternlight, your naivete and historical ignorance is appalling.  [ History lesson detailing 1968-74 deleted. ]",0
misc.forsale,I have the following games for sale/trade. Make an offer.  Crystal Warriors Junction Revenge of Drancon Psychic World Castle of Illusion (starring Micky Mouse) Chessmaster  --  brian oplinger@ra.crd.ge.com,1
misc.forsale,"Did anyone notice the words ""NOT FOR BASEBALL"" printed on the picture of Joe Robbie Stadium in the Opening Day season preview section in USA Today? Any reason given for this?  Also, I just noticed something looking at the Nolan Ryan timeline in the preview. On 8/22/89, Rickey Henderson became Nolan's 5000th strikeout. On 6/11/90 he pitched his 6th no-hitter against Oakland. I believe the last out in the game was made by Rickey Henderson. And on 5/1/91, Nolan pitched his 7th no-hitter on the same day a certain someone stole his 939th base, which overshadowed it. It seems that Nolan is having a lot of publicity at Rickey's expense. IMO, Rickey deserves it, and it seems as most of the net agrees with me from what I've seen on it lately. They are both great players, but IMO, Nolan has outclassed Rickey, both in playing and more importantly, in attitude. Just my thoughts.",0
misc.forsale,"I recently backed out of purchasing an almost-unused Sony TCD-D3 DAT Walkman, having found someone else who has a unit I personally prefer (and am paying more for).  However, it's still a heck of a machine for the price -- it is quite rugged, and many people out there swear by it.  (It's probably the most popular walkman-style DAT machine out there.)          Anyway, the guy selling it is Bryan Davis (bdavis@netcom.com), and here's what he told me:  ------------------------------------------------------------------------------- Here is what is included:         - TCD-D3 DATman.         - (2) RCA to Stereo 1/8"" plug cables.  One for analog input, one for           analog output.         - Optical digital I/O cable (one lead for input, one for output).         - A copy of my sales receipt with a note about your purchase.  The           unit is still under factory warrantee.         - AC adaptor/battery charger.         - Rechargable battery.  I paid $750 + tax for it so I hope you don't mind if I keep the 60 minute tape it came with (I have some samples on it!).  [By the way, he spent at least $100 too much for it, unless he's including an  extended warranty, which is advised for DAT machines, since it costs about  $300 to replace the head when it wears out, and it probably will within 5  years if you use it a lot.. -- davisonj] -------------------------------------------------------------------------------          I'm not going to quote my sale price for him: that would not be nice. Send him mail and ask him what he wants.          Again, I've used the TCD-D3, and I have to say that I can certainly understand why it is as popular as it is.  I've been using one for a little while, and although I had some problems with it recently, I should also point out that the particular one I was using had been on the road for two years and had truly been _used_ during that time.  (This is the same exact DAT machine that was lugged around the U.S. and Canada to record the Jazz Butcher Conspiracy for their recent live album.)  ------------------------------------------------------------------------------- I know at least half a dozen professional musicians and record labels in S.F who use that model (and have been for a while) with no reported problem.  My problem is that everyone I know already has one. -------------------------------------------------------------------------------          'nuff said.          The reason I'm not getting it is that I found someone else selling me a unit that features phono-plug SPDIF I/O instead of optical (I don't have any optical ports on my equipment, but you, the reader, might), and it also has some other bells & whistles that the TCD-D3 doesn't.  (I am also paying more for the alternative.)  Note that phono-plug-to-optical SPDIF adapters are available if you absolutely must have one.          Of course, it has SCMS.  All consumer decks do.  (So do Sony Minidiscs, by the way.)          Anyway, if you're interested, get in touch with bdavis@netcom.com. ",1
misc.forsale," Why?  He, Reno, and the FBI got what they wanted -- a reminder of who is the boss in America -- the thugs who work for the government.",0
soc.religion.christian," The existence of repeated earth lives and destiny (karma) does not mean that everything that happens is predetermined by past deeds. There is an oriental view of it that tends in that direction, but I did not subscribe to that view.  God may choose one individual over another as the fit instrument for his plans, but that does not preclude that the development of that individual into what he is in this earthly life is not the result of a longer course of development.  I do not, and Rudolf Steiner did not, subscribe to the oriental view of an inexorable, mechanistic karma determining everything that befalls one.  This is a kind of shriveled caricature of a much greater law in the context of which the deed of Christ on Golgotha and the ultimate salvation and freedom of the human being as a working of Christ can be seen as the master theme and, indeed, a new impulse that was completely free of karma.  Christ incarnated only once in the flesh, and in that he had no debt of karma or sin.  The oriental concepts of reincarnation and karma, which are even more trivialized and mechanized in some new age teachings, incorrectly assume Jesus Christ to have been the reincarnation of a master.  avatar, etc. Their teaching of reincarnation and karma also has no concept the continuing individuality from one life to the next (e.g. Buddhism). More important, they have no concept of the resurrection of the body, the ultimate continuity of the whole human being -- to ultimate resurrection and judgement on the Last Day.  There is another biblical passage that also has a bearing. It is the tenth chapter of John, devoted almost entirely to the man born blind. Clearly here, Jesus tells the disciples that it was not his past karma or that of his parents that led to his blindness, but rather that a new impulse is to be revealed through him.  But note that he does not refute the disciples' question.  In fact, they ask it as a matter of course, the question being stated as if it were self evident that only one of two possibilities existed - it was either the sins of the man himself, obviously not in this incarnation, or the sins of his parents.  The fact that they even asked about the first possibility at all indicates an awareness of the idea on their part and the form of Christ's answer indicates that he did not disagree with it.  There is also Matthew 11:14, where Jesus says straight out about John the Baptist,     ""If you care to accept it, he himself is Elias, who was to come.""  This also emphasizes that the Gospels do not have a positive teaching either way about reincarnation -- or, in fact, about what happens to the human being at all between death and the Last Day.  Even Jesus did not push this teaching on people who were not ready to embrace it (""If you care to accept it"").  So I took care to point out, not that the Bible teaches reincarnation but that it does not deny it either, and that much in both scripture and fundamental Christian doctrine becomes understandable if reincarnation is understood in the right way.  I pointedly used ""repeated earth lives"" to distinguish a little from the oriental doctrines usually associated with the word ""reincarnation"". The phrase is Rudolf Steiner's (wiederholte Erdenleben).  He noted too that the idea needed to arise as a new insight in the west, completely free from eastern tradition.  It did in the eighteenth and nineteenth centuries, the most important expression of it being Lessing's ""The Education of the Human Race"".  To return to your original point, Paul's statement about Jacob and Esau does not contradict the idea of repeated earth lives and karma. And both of these principles receive their fulfillment in the incarnation, death, and resurrection, ascension and return of Jesus Christ, in my view.",1
soc.religion.christian,,0
comp.sys.ibm.pc.hardware,Hi! 	 Is it possible through either pin configuration or through software programming to change the IP numbers on an ethernet card? 	 Thanks in Advance!  --  =-Dave   *Tigger!*,1
comp.sys.ibm.pc.hardware,"Hello,  I am not sure if this is the right conference to ask this question, however, Here I go..  I am a commercial fisherman and I  fell about 3 weeks ago down into the hold of the boat and broke or cracked a rib and wrenched and bruised my back and left arm.   My question,  I have been to a doctor and was told that it was  best to do nothing and it would heal up with no long term effect, and  indeed I am about 60 % better, however, the work I do is very  hard and I am still not able to go back to work.  The thing that worries me is the movement or ""clunking"" I feel and hear back there when I move  certain ways...  I heard some one talking about the rib they broke  years ago and that it still bothers them.ÿ.  any opinions? thanx and cheers",0
