query,doc,label
soc.religion.christian,": > 	   I'm a commited Christian that is battling with a problem.  I know : > that romans talks about how we are saved by our faith not our deeds, yet : > hebrews and james say that faith without deeds is useless, saying' You fools, : > do you still think that just believing is enough?' :  : [Stuff deleted] :   : > Now I am of the opinion that you a saved through faith alone (not what you do) : > as taught in Romans, but how can I square up in my mind the teachings of James : > in conjunction with the lukewarm Christian being 'spat-out' : >  : > Can anyone help me, this really bothers me. :   I have received tons of mail from people replying to this article I wrote, and I would just like to thank everyone who took the time to give me a hand.  It has indeed helped me and re-affirmed alot of theories that I held but was a little unsure about.  God bless you all  Will ",1
soc.religion.christian,"[..]  Possibly the parallel just stems from your tending to use bad sources... Anyway, don't you think that similarity is rather shallow?  You're only looking at the surface, at the way of argumentation.   And now you should perhaps go a little deeper and try to find the difference, for example, find out whether you can find real science done by Hitching. If you can't, will you then admit that your attempt at quoting an authority has backfired? ",0
talk.politics.guns," With one exception, that's a pretty good description of many of the Baptists I know.  The exception is that they know the difference between an M-16 and an AR-15.  Heck - they even know that ""it looks like Richard Petty's stock car"" doesn't mean ""it's a racing stock car"".  They may be uncouth, but they've figured out that appearance isn't function.  -andy",1
talk.politics.guns,"WASHINGTON - A stark reminder of the Holocaust--a speech by Nazi  SS leader Heinrich Himmler that refers to ""the extermination of the Jewish race""--went on display Friday at the National Archives. 	The documents, including handwritten notes by Himmler, are among the best evidence that exists to rebut claims that the Holocaust is a myth, archivists say. 	""The notes give them their authenticity,"" said Robert Wolfe, a supervisory archivist for captured German records.  ""He was supposed to destroy them.  Like a lot of bosses, he didn't obey his own rules."" 	The documents, moved out of Berlin to what Himmler hoped would be a safe hiding place, were recovered by Allied forces after World War II from a salt mine near Salzburg, Austria. 	Himmler spoke on Oct.4, 1943, in Posen, Poland, to more than 100 German secret police generals.  ""I also want to talk to you, quite frankly, on a very grave matter.  Among ourselves it should be mentioned quite frankly, and yet we will never speak of it publicly. I mean the clearing out of the Jew, the extermination of the Jewish race.  This is a page of GLORY in our history which has never been written and is never to be written.""  [Emphasis mine--rje] 	The German word Himmler uses that is translated as ""extermination"" is *Ausrottung*. 	Wolfe said a more precise translation would be ""extirpation"" or ""tearing up by the roots."" 	In his handwritten notes, Himmler used a euphemism, ""Judenevakuierung"" or ""evacuation of the Jews.""  But archives officials said ""extermination"" is the word he actually spoke--preserved on an audiotape in the archives. 	Himmler, who oversaw Adolf Hitler's ""final solution of the Jewish question,"" committed suicide after he was arrested in 1945. 	The National Archives exhibit, on display through May 16, is a preview of the opening of the United States Holocaust Memorial Museum here on April 26. 	The National Archives exhibit includes a page each of Himmler's handwritten notes, a typed transcript from the speech and an offical translation made for the Nuremberg war crimes trials.  	---From p.A10 of Saturday's L.A. Times, 4/17/93 	(Associated Press)",0
rec.sport.hockey,"Us easterners who have newspapers with editors unsympathetic to playoff pools, often don't get summaries from west coast games since they finish too late at night for the morning edition.  I (and I'm sure others too) would greatly appreciate it if scoring summaries of west coast playoff games could be posted to this group right away. basically, all we need are goal scorers and assists, don't bother with times, penalties, shots etc...  this would make a lot of pool-obsessed people very happy.  I guess with the Senators out golfing now, the  local papers have lost interest.  ;-)  thanks.  kd. ",1
rec.sport.hockey," Let's see, if Alexander destroyed Tyre, and people move back, and they construct houses, and after a while 14000 people live there and still call it Tyre, it is not considered to be rebuilt. Instead it's considered to be 'just-some-people-that-got-together-for-fishing- and-they-needed-houses' place.   Sigh, I was never born in a city then (my home town has 10.000 people). I have to consult my city and inform them that it's from now a fishing village. When this city (Kristinestad) was founded in the 17:th century about 1000 people lived there, so the norms were even more bizarre for dumb Swedish queens who founded cities along the coast of Finland.  I would like to know why Paul thought is was worth mentioning the  small fishing place of Tyre in Acts. Again, maybe he was a keen fisherman and wanted to visit the shores of Tyre? :-)  Cheers, Kent",0
talk.politics.guns,"From article <1993Apr18.000152.2339@gnv.ifas.ufl.edu>, by jrm@gnv.ifas.ufl.edu:  Only irrational fools such as yourself are set against RKBA.  There are *plenty* of people who support it.   The government will be overthrown *long* before that happens.  A *huge*  millitia composed of all available men and women who care about their country will defeat the forces of the evil Klintonistas.  The people *will* prevail!  Oh, so you think armed citizens alone can't overthrow the government? Consider this:  do you think *all* law enforcement officials and members of the Armed Forces will turn against the people that they are entrusted to serve?  Not hardly.  You can count on a lot of people in the Army, Marines, Air Force, Navy, National Guard, police officers, and so on joining in the cause to defend the liberties and freedoms of American citizens.  COUNT ON IT!  THE GOVERNMENT WILL NOT BE ABLE TO DISARM EVERYONE WITHOUT STARTING A CIVIL WAR!   Wrong again.  People will just hide their guns so these ""officers"" (more like jack-booted stormtroopers) will not be able to find them.   They will unless they are idiots.  They will realize that if they don't then they will be *next* including you.  Believe me if what you describe happens they will be coming for *more* than guns.  Disarming citizens would require that everyone's cherished freedoms and liberties be suspended temporarily.  More likely, they'd never be restored unless the *people* do something about it.    Scott Kennedy,  Brewer and Patriot",1
talk.politics.guns," Sperm deposited near the entrance of the vagina has been known to cause pregnancy, even in the presence of a hymen. I doubt that sperm could make  it through a layer of cloth then find the right path to a waiting ovum, but it might be possible.  So, it is possible for a woman to be both virgin and pregnant. Also, some hymens are sufficiently loose to allow near-normal intercourse without rupturing. The problem when investigating these phenomenae is, of course, getting an honest account of what exactly happened.",0
soc.religion.christian,"I have been studying the Bible now for about a year.  I love it, but I am not very familiar with the different denominations, or traditions, or common beliefs of various christian groups. I have heard various people (outside this news group) describe *idols* such as power, money, material  possessions etc.  These things are worshiped in some sense I  suppose, but I never really gave idols much thought.  Until now...    I have been reading the postings in this news group (which I  just found a few days ago), and I have a question...  First, I'm not trying to question anyone's belief or try to push my views on anyone else (I haven't been at this long enough to have any views other than I cannot get to heaven by being good, I must understand that Christ bore my sins on the cross so that I could be saved and I need to repent, i.e. realize that every time I sin, I might as well stick a sharp stick in Christ's side because He took the punishment for my sins, when He died on the cross).  In my studies, Mary never really comes up.  I know who she is,  but that's about it.  It seems to me that a statue of Mary  could be considered an idol?  Do people pray to statues of Mary?  It sounds like educated christians (more educated than myself I'm sure) believe Mary was sinless?  Wow...  I hoped to spend the summer convincing myself (one way or the other) about Tongues (I'm reading ""Charismatic Chaos"").  I guess I'll study Tongues in parallel with reading this news group.  Any help you can  give me will be appreciated.      -------------------------------------------  [I don't think the issue is so much that people are more educated than you (though it may well be that they are), as that they come from a different tradition than yours.  This is a discussion between Catholics and Protestants.  Catholics generally believe that Mary was sinless.  Protestants do not.  The issue comes down to different sources of authority.  Protestants generally limit themselves to the Bible as a source of doctrine. Since this isn't in the Bible (except in passages that no one would understand in this way if they didn't already believe it), Protestants don't accept it.  Catholics see continuing revelation through the Church, though they believe the results are consistent with the Bible.  I interpret your posting, not as a call for yet another argument about whether the Catholic Marian devotions are idolatry (an argument I am not prepared to see newed here), but as a sign of being interested in learning about traditions other than your own.  Catholics are of course a major one, but by no means the only one.  I generally consider the major traditions to be Catholic, Orthodox, and various subsets of Protestantism.  Within Protestantism, it's a matter of how finely you want to cut things.  These days I think the major division is between those who accept Biblical inerrancy and those who don't.  There are also a number of major historical traditions, but in recent decades distinctions are tending to blur.  I'd  identify the major Protestant traditions as:    Lutheran, Reformed, Anglican (they're sort of halfway between   Catholic and Protestant), Wesleyan, Baptist, Holiness, Pentecostal,   Church of Christ  But there are a number of others.  Historical distinctions tend not to be so important among the liberal churches anymore, and I think current trends in society and the Church are also tending to make conservatives seen themselves as allies from a general ""evangelical"" perspective.  But differences among these various traditions are still quite marked.  I think the best introduction to these issues is to read a good book on church history.  Anyone who wants to understand the church really needs to understand how we got where we are now.  A church history will normally show you where each of these traditions came from, and give a feeling for their nature.  Unfortunately I'm away from my library at the moment, so I don't have anything specific to recommend.",1
soc.religion.christian," Mine works great, so far...... ",0
