query,doc,label
alt.atheism,"  I'd have to say that I have a problem with any organization,  religious or not, where the idea that _simple speech_ such as this is the basis for a crime.",1
alt.atheism," Let's see if I have this straight.  A law is created that says ""you can not have a automatic weapon"" and therefore it's ok for the government to use any level of force to enforce that law.  Doesn't matter if the entire  population of the planet is destroyed as long as that law is obeyed.",0
comp.os.ms-windows.misc,"In Win 3.1, one may assign hot-keys for the program items within the Program Manager. How about the Program Manager itself? Is there one already, or is there some way to assign one?",1
comp.os.ms-windows.misc,"Ok all you trivia buffs, I have a good one for you.  1.  Prior to the foul bunt rule what is the record for the most foul balls by 1 batter during one at bat?  2.  Total pitches?  3.  Who was the batter?  4.  Who was the pitcher?  5.  Same as 1-4 except after the foul bunt rule.  Associated data would be nice too (such as date, location, teams, etc.)",0
comp.windows.x,"  What I was talking about was using an Tek terminal as your X display.  I should be possible to write an X server that does this as far as I can tell, but what I'm asking is if there is already one.  --  mike@hopper.acs.virginia.edu ",1
comp.windows.x,"Is the "".3ds"" file format for Autodesk's 3D Animation Studio available?  Thanks, Gary",0
comp.sys.mac.hardware," 	       ------------  Actually, it's Transoft now, and that's what I meant ;)",1
comp.sys.mac.hardware," Wasn't there a ""plain"" flavor too?  They looked more like some kind of extruded industrial product than food -- perfectly smooth cylinders with perfectly smooth ends.  Kinda scary.   An other post described it as like a ""microwaved Tootsie Roll"" -- which captures the texture pretty well.  As for taste, they were like candy, only not very sweet -- does that make sense? I recall liking them for their texture, not taste. I guess I have well developed texture buds.   It was obligatory to eat a few while watching ""Captain Scarlet"". Does anybody else remember _that_, as long as we're off the topic of space?  Shag  -- ",0
comp.graphics,Hi... can anybody give me book or reference title to give me a start at  fractal image compression technique. Helps will be appreciated... thanx,1
comp.graphics,"I'm quite familiar with a variety of window title *setting* methods.  My question is...  Is there any way (via Resources, etc) to stop an application's ability to re-name it's own Name / IconName properties?  ...who cares if it's not 'nice' to the application -  	I WANT CONTROL! ;-)  -Mike ",0
talk.religion.misc," Have you informed your wife of this prioritization?  This board will have  Thou hast used my name in vain!  I never coerce.  Ridicule, maybe, but never coerce.  Please take responsibility for your actions.  (deletia) ",1
talk.religion.misc,": >the Single Launch Core Station concept.  A Shuttle external tank and solid : >rocket boosters would be used  to launch the station into orbit.  Shuttle : >main engines would be mounted to the tail of the station module for launch : >and jettisoned after ET separation.  Karl Dishaw (0004244402@mcimail.com) replied: : Why jettison the SSMEs?  Why not hold on to them and have a shuttle  : bring them down to use as spares?  One performance reason comes to mind: if you jettison the SSME's, you don't have to drag them with you when you perform your circularization burn(s).  On-orbit, SSME's are just dead weight, since we don't have an SSME H2/O2 pressurization mechanism which works in zero-G.  This means that you can't use them for re-boost or anything else.  Dead weight has a couple of advantages, but more disadvantages.  Throw-away SSME's might let us use some of the old SSME's which are not- quite-man-ratable.  But I doubt we'd do that; the cost of a launch failure is too high.  -- Ken Jenks, NASA/JSC/GM2, Space Shuttle Program Office       kjenks@gothamcity.jsc.nasa.gov  (713) 483-4368",0
misc.forsale,"Regards, Steve.",1
misc.forsale,"   On these counts, the apocrapha falls short of the glory of God.    To quote Unger's Bible Dictionary on the Apocrapha:    1. They abound in historical and geographical inaccuracies and    anachronisms.    2. They teach doctrines which are false and foster practices    which are at variance with sacred Scripture.    3. They resort to literary types and display an artificiality of    subject matter and styling out of keeping with sacred Scripture.    4. They lack the distinctive elements which give genuine    Scripture their divine character, such as prophetic power and    poetic and religious feeling.  First, to point out the obvious: While #4 would clearly be a highly subjective issue, one would be hard pressed to point to another book of the OT (or for that matter the NT) that doesn't, on some issues, in some way, fail one or more of the first three of these tests.  Second, one factor the Deuterocanonicals share is the lateness of their composition.  I don't recall the exact dating of all of the books, but most --if not all-- were written after the latest of the canonical books (i.e. Daniel).  Furthermore, while the Deuterocanonical may or may not have been originally written in Greek, they are clearly deeply _Hellenistic_ in nature.  Both of these features probably figured heavily in the rejection of these books from the various canons.  These may not be strict and uniformly applicable criteria by which to judge the canonicity of these books, but, as these discussions have shown, I think the one thing we can see is that there _are_ no purely objective standards for determining canonicity.",0
comp.graphics,"Is the "".3ds"" file format for Autodesk's 3D Animation Studio available?  Thanks, Gary",1
comp.graphics,"Apparently, the public workers' strike in St John's, Newfoundland is over. The strike has, since mid-January, forced the St John's Maple Leafs hockey team to play their home games in other cities such as Toronto, Cornwall and Charlottetown. They have been playing their playoff home games in Halifax, Nova Scotia. Leafs' management said that they COULD return to St John's for the second round.",0
talk.politics.misc,"# #However, monogamous homosexual male sex is so rare that for practical # #purposes, homosexuality spreads AIDS. # #--  # #Clayton E. Cramer {uunet,pyramid}!optilink!cramer  My opinions, all mine! # #Relations between people to be by mutual consent, or not at all.  # You fucking homophobic moron!!!!!!!!!  What about IV drug use?  What about  # tainted blood?  What about multi-sexual partners?  If you knew anything  What about them?  Those also spread AIDS.  Where did I say anything different?  Go back and read what I wrote.  The statement ""homosexuality spreads AIDS"" is not made false by the fact that there are other methods of spreading it as well.  # about what you are talking about, you would be dangerous.  As it is right now, # you are a persistent boil on the skin of humanity that needs to be lanced. #  # Joe Cipale  Typical homosexual response.  ",1
talk.politics.misc, What is PAS16? Any articles (or reviews) describing it?  -- Penio Penev  x7423 (212)327-7423 (w) Internet: penev@venezia.rockefeller.edu,0
rec.motorcycles,"No, the Grand canyon is not too far away.  Short side trips to Kolob (between Cedar City and Hurricane) and Pipe Springs (on the way from Hurricane to the Grand Canyon) may be interesting--they are right off the highway.  Pipe Springs (a small fort) gives you real insight into just how the pioneers lived.  You have missed one major must see attraction--Cedar Breaks in the mountains above cedar city. Take lots of film--they have a reason for calling this kodachrome country.  Natural Bridges in the four corners area is also very scenic, but may be too far off your route.  Monument valley is spectacular, but again may be too far away.",1
