query,doc,label
comp.sys.mac.hardware,,1
comp.sys.mac.hardware," There is no need to include the VAT from previous levels because the VAT is a ""difference"" tax...if the VAT is X%, than the amount of tax the government receives through all the levels is X% of the purchase price of the end consumer.  At the intervening levels, only the difference between the VAT paid out and the VAT received is remitted to the government.   A VAT is infinitely preferable to a retail sails tax...",0
comp.graphics,"Moscow Scientific Inductrial Association ""Spectrum"" offer        VIDEOSCAN vision system for PC/AT,wich include software and set of        controllers.                       SOFTWARE              For support VIDEOSCAN family program kit was developed. Kit        includes more then 200 different functions for image processing.             Kit works in the interactive regime, and has include Help for        non professional users.             There are next possibility:        - input frame by any board of VIDEOSCAN family;        - read - white image to - from disk;        - print image on the printer;        - makes arithmetic with 2 frames;        - filter image;        - work with gistogramme;        - edit image.        - include users exe modules.                       CONTROLLER VS9         The function of VS-9 controller is to load TV-images into  PC/AT.        VS-9 controller allows one to load a fragment of the TV-frame from        a field of 724x600 pixels.        The clock rate is 14,7 MHz when loading an image with 512 pixel in        the line and 7,4 MHz when loading a 256 pixels image. This        provides the equal pixel size of input image in both horizontal        and vertical directions.        The number of gray levels in any input modes is 256.        Video signal capture time - 2.5s.                       CONTROLLER VS52         The purpose of the controller is to enter the TV images into a IBM        PC AT or any other machine of that type. The controller was        created on the base of modern elements, including user        programmable gate arrays.        The controller allows to digitize a input signal with different        resolutions. Its flexible architecture makes possible to change        technical parameters. Instead of TV signal one can process any        other analog signal (including signals from slow-speed scanning        devices).        The controller has the following technical characteristics:        - memory volume - from 256 K to 2 Mb ;        - resolution when working with standard video signal - from 64x64        to 1024x512 pixels ;        - resolution when working in slow input regime - up to 2048x1024        pixels;        - video signal capture time - 40 ms.        - maximum size of a screen when memory volume is 2Mb - 2048x1024        pixels ;        - number of gray level - 256 ;        - clock rate for input - up to 30 MHz ;        - 4 input video multiplexer ;        - input/output lookup table (LUT);        - possibility to realize ""scroll"" and ""zoom"";                     - 8 lines for external synchronization (an input using external        controlling signal) ;        - electronic adjustment of black and white reference for analog -        digital converter;        - possibility output image to the color RGB monitor.        One can change all listed above functions and parameters of the        controller by reprogramming it.                 IMAGE PROCESSOR VS100 ",1
comp.graphics,"  Been messin roun progman.ini have ye?  I'm gessing you've been ""tuning"" the system, that's the only way I can remember getting a blank screen from CTRL-ESC.... when one of the PROGMAN.INI parameters was twinked to 0 or 3, can't remember.  I've never seen Win 3 do something like that on  her own, Captain.",0
rec.sport.hockey,"You might want to clarify the 11 game winning streak.  That Pens streak is a PLAYOFF streak (tied by the Chicago Blackhawks, who had won 11 in a row until they met the Pens in the finals last year)  The 18 game unbeaten, so far, is a regular season unbeaten streak.  But hey, don't take it personally.  I'm a Flyers fan and two in a row is a stretch.  But with a healthy Lindros, Recchi, Brind'amour and Tommy Soderstrom, they'll be there next year! By the way, since the Flyers need defenseman, what kind of trade would anybody suggest from the existing Flyers roster since the scuttlebutt is that  Terry Carkner won't be there next year and apart from him a piece of notebook paper would be better defense.",1
rec.sport.hockey,"& Can somebody tell me what all the letter spesifications on motorcycle models  & really mean.  & Example: What means the C, the B and the R in Honda CBR. - Or the V, S, G, L  & and P in Suzuki VS750GLP  Honda:  a ""V"" designates a V engine street bike. ""VF"" for V-4, ""VT"" for V-twin. ""CB"" is a street bike with an parallel twin or inline 4-cylinder engine. ""R"" used to mean race bike, but is now also used to mean sport bike. ""CL"" was for the old steet scramblers-street bikes with high pipes ""CM"" was a ""custom"" street bike ""CR"" is dirt only two strokes ""XL"" is dual purpose bike ""XR"" was dirt only four stroke, but now can be a dual purpose bike if it has an ""L"" as a suffix. ""GL"" is a touring bike ",0
comp.windows.x,"The copyright notices themselves seem to be making conficting restrictions.  I do not know how to reconcile:  /* Copyright Notice  * ================  * Copyright 1989, 1990, 1991, 1992, 1993 by John Bradley  *   * Permission to use, copy, and distribute XV in its entirety, for   * non-commercial purposes, is hereby granted without fee, provided that  * this license information and copyright notice appear in all copies.  *  ... with:   *  * XV is shareware for PERSONAL USE only.  You may use XV for your own  * amusement, and if you find it nifty, useful, generally cool, or of  * some value to you, your non-deductable donation would be greatly  * appreciated.  $25 is the suggested donation, though, of course,  * larger donations are quite welcome.  Folks who donate $25 or more  * can receive a Real Nice bound copy of the XV manual for no extra  * charge.  *   * Commercial, government, and institutional users MUST register their  * copies of XV, for the exceedingly REASONABLE price of just $25 per  * workstation/X terminal.  Site licenses are available for those who  * wish to run XV on a large number of machines.  Contact the author  * for more details. ...  It strikes me that the first part gives you the right to use, without fee, the program for noncommercial purposes if the info appears in all copies. This seems to cover educational institutions despite what the rest of the notice says.  And the first part doesn't say subject to the conditions outlined below...   Chris",1
comp.windows.x,"I am looking for a working docking deck (deck that goes on back of camera) for an old JVC GX-S700 Tube video camera.  Any format is acceptable.  Please send me a message if you even know anything about decks for the GX-S700.  Also interested in any video equipment for sale, professional or consumer.  Thank you.   ---- bbates@pro-freedom.van.wa.us   -==-   Pro-Freedom BBS - (206) 694-3276",0
talk.religion.misc,"=>I don't necessarily agree with Pat Robertson.  Every one will be placed before =>the judgement seat eventually and judged on what we have done or failed to do =>on this earth.  God allows people to choose who and what they want to worship. = =I'm sorry, but He does not!  Ever read the FIRST commandment?  I have.  Apparently you haven't.  The first commandment doesn't appear to forbid worshipping other gods.  Yahweh's got to be at the top of the totem pole, though. -------------------------------------------------------------------------------- Carl J Lydick | INTERnet: CARL@SOL1.GPS.CALTECH.EDU | NSI/HEPnet: SOL1::CARL",1
talk.religion.misc,"DALLAS HELPS HAWKS STAY IN MONCTON After announcing that they would pull their affiliation out of Moncton, the Winnipeg Jets changed their mind.   The Jets announced the move when they said that they would be slashing their minor league roster from 20-something to around a dozen; and they wanted to share with an existing AHL or IHL franchise.  Enter the Dallas Lone Stars. Dallas agreed to supply the remaining 6 or 8 players to the Moncton franchise. Thus keeping the Hawks in the New Brunswick city.  The deal is for one year and will be extended to three years if the season ticket base increases to over 3000. The Hawks only sold 1400 for this year.  SAINT JOHN FLAMES OFFICIAL The Calgary Flames have officially signed a deal with the city of Saint John, NB. The Saint John Blue Flames will play in the 6200 Exhibition Center. The Flames still have to apply for an expansion frnachise from the AHL but are expected to have no trouble.  CAPS FOLLOW JACKS TO MAINE Despite rumors to the contrary, the Capitals will follow the Baltimore Skipjacks to Maine. The Caps' current farm team, the Baltimore Skipjacks, announced that they would move to Maine and become the Portland Pirates. There was much doubt as to if the Caps would follow but they announced a limited deal with Portland. They would supply a dozen or so players including 2 goalies. They become the third team to announce a limited farm team along with Moncton and the Capital District Islanders.",0
