query,doc,label
misc.forsale,I'm trying to set up a personal studio.  What I'm looking for are a cheap sampler(rack or with keyboard)  or a cheap sound card (AudioMedia I or II or something similar).,1
misc.forsale,"  While we're on the multipurpose subject, let's not forget Shea, which was designed to accommodate both the Mets & Jets.  It was the first stadium (I think) to have the box seats on rollers so they could be oriented at right angles for baseball & in parallel for football.  Of course, with the Jets gone to Jersey (and a truly good football stadium), the Mets are saddled with a multipurpose stadium where, because it's circular, the seats are almost always too far from the action.  The Mets announcers--Kiner & Murphy in particular--have always hyped it as ""beautiful Shea Stadium,"" a tipoff to how unbeautiful it truly is.",0
sci.med,,1
sci.med,"	I had asked everyone about problems installing a 4 meg simm and an 8 meg simm in my Centris 610, but the folks at the local Apple store called the folks in Cupertino and found that you can't have simms of different speeds in one machine, even if they are both fast enough - ie - My 80 ns 8 meg and 60ns 4 meg simms were incompatibable...  Just thought people might want to know..... 					Jason. ",0
rec.sport.baseball,"Just to add to this vein, consider that range of a first baseman is not the only important thing.  He is IMO the best fielder of bad throws from the other infielders.  I have seen him scoop balls out of the dirt, catch balls off a large bounce, take down balls over his head, wide, etc. ad infinitum.  *And* he gets the out, much of the time.  Some of the things he does to save his infielders of errors are amazing.  You have to give Mattingly credit for being able to do all of that while keeping his foot near the bag (yes, I am sure he gets a few calls because he is Mattingly :-) ",1
rec.sport.baseball,"  On second thought, maybe he didn't invent wreck.moto -   	he's trying a round about way to figure out the DoD theme song.  One FAQ, coming right up!      Charlie Smith,  DoD #0709,  doh #0000000004,  1KSPT=22.85",0
sci.crypt," I've been reading this board passively for a while now and find the subject absolutely fascinating, especially from the point of view of a civil rights nut like myself.  My problem is that I'm new to the field and paragraphs like the above keep popping up.  I'm sure what Mr.  Bellovin is writing about is both fascinating and important, but I have  NO IDEA what it means.  :-)         Anyway I'm keen to learn and will read anything I can get my hands on that explains this stuff in lay terms (I have a decent CS background, but not a huge amount of hyper-advanced math).  Can anyone point me to a FAQ or a decent source of information about the guts of current cryptography and maybe a little history as well?  I read the piece in this month's WIRED, can anyone tell me how much I should trust the references they suggest?    Thanks in advance,    Steve. ",1
sci.crypt, I think you just answered your own question... ,0
sci.electronics," They are real, and we still pay licence fees to receive TV. The detector vans pick up the IF, true. This tells them what channel you are watching. The can also pick up the line time base freq, and frame rate (Try it with a LW/MW radio near telly, it picks up a sharp hum)  From this they can even watch (poor quality though) what *you* have on the screen, by picking up re radiating junk.",1
sci.electronics,"Discounts!  Please take	$2.00 off each item over $10.00                         $1.00 off each item over $ 5.00  Here is the list of magazines, including asking price: --------------------------------------------------------------------  Strategy & Tactics Magazine (All include unpunched games): ===========================  NEW (52 & 79-90 As mailed with games and all inclusions.)  Issue:	Title:							Asking:  52	Oil War - American Intervention in The Persian Gulf	35.00  79	Berlin '85 - The Enemy at the Gates			20.00 81	Tito - Partisan Army Yugoslavia, 1941-45		20.00 83	Kaiser's Battle - German Offensive March, 1918		20.00 84	Operation Grenade - Rhineland Feb 23-Mar 5, 1945	20.00 89	Sicily - The Race to Messina Jul 10-Aug 17, 1943	20.00 90	The Battle of Monmouth - Colonies take Offensive 1778	20.00  ----------End of an Era ---------------------------------------------  NEW (113-127 As mailed with games and all inclusions in envelope.)  Issue:	Title:							Asking:  113	The Battle of Abensberg (Magazine only)			15.00	 115     Kanev - Russian Paratroops				15.00 116	Manchu - The Taiping Rebellion				15.00 117	North German Plain - Modern Germany			15.00 118	The Tigers Are Burning - Camp. in the Ukraine '43-44	15.00 120	Nicararagua						15.00 122	Pegasus Bridge - The Beginning of D-Day			15.00 123	Campaigns in the Valley					15.00 124	Fortress Stalingrad - Russian Winter Offensive '42-43	15.00 125	The Far Seas - German Cruiser Operations WWII		15.00 126	Beirut 1982 - Arab Stalingrad				15.00 127	Rush for Glory - War with Mexico 1846-47		15.00   The AH General Magazine:  (Many other articles included in each issue) =======================  Issue	Title				Asking  Vol. #  7-80    Crescendo of Doom               8.00  	17/2 11-80	Fortress Europa			8.00  	17/4 1-81	Circus Maximus			8.00  	17/5 3-81	Stalingra			8.00  	17/6 5-81	Bismark, Squad Leader Clinic 	8.00  	18/1   Campaign Magazine: (Many other articles included in each issue) =================  Issue	Title				Asking  97	Crescendo of Doom		 8.00 101	Cross of Iron			 8.00 102	Counterstroke at Inchon		 8.00 104	Squad Leader Variant		 8.00 106	GDW's 1941			 8.00 108     Battle for Leyte Gulf	         8.00  All magazine prices include postage.  ALL ISSUES ARE IN NEW OR LIKE-NEW  CONDITION.   -----------------------------------------------------------------------  Games and Books: ===============  Yaquinto Publications, Inc.: ===========================  Attack of the Mutants - Introductory Game			$ 5.00 (Unpunched, new.)  ---  The Complete Book of Wargames (out of print)			$30.00 -------------------------------------------- Author:  Jon Freeman (Part 1 Introduction 75 pages -  	including Ch. 4 Kassala: An Introductory Wargame) (Complete information on over 150 wargames as of 1980) [hardcover, 285 pages, large format]  ---  Shipping extra on books and games.  Prefer money orders for payment, I'll allow personal checks to clear before shipping.    					Larry   Larry McElhiney 1385 7th Avenue #10 Santa Cruz, CA 95062",0
