query,doc,label
rec.sport.baseball,"Just curious if anyone has started to standout early in the season in the BB DDD this year. I expect the Phillies staff, while getting the wins, would have to rank up there. Luis Gonzalez and Derrick May are among the early league leaders, and all 6 of their bombs have come at the Phils' expense. Neither of them have exactly been know for their tater prowess in the past.   How have the Rockies been early? I know Mile High has produced a ton of  runs, but is it the launching pad everyone expected yet?   A concerned fan of the BB DDD,",1
rec.sport.baseball,"My girlfriend just started taking this drug for her migranes.  It really helped her get through the rebound withdrawl when she got off analgesics.  She doesn't have a mail account, but asked me to forward this:  ""Glaxo is the distributor; Imitrex is the drug's brand name.  It works.  She can call her pharmacy for more info. The ""miracle"" drug has been used for years in Europe and for some time in Canada.  Trials in the U.S. were completed and the drug hit the US market at the end of March.  Some pharmacies don't stock it yet.  Presently it needs to be injected subcutaneously; although testing is starting with a nasal spray form.  It mimics serotonin (its molecular structure that fits onto pain receptors looks identical to serotonin on a model I saw)""",0
talk.politics.misc,,1
talk.politics.misc," I asked some simple questions at different occations. I don't understand why some people insulted me for those SIMPLE questions! Anyway, I didn't reply to them with the same language and I won't, because  1. There is no need 2. There is no benefit  3. I don't have time  to reply to those garbages  By the way, do you want to know who am I? I am not a NATIONALIST Arab of 1967.  I am not a COMONIST Arab of 70's. Are you sure that you want to hear  my name? I am a MUSLIM FIGHTER. I am the same child who  fight with your armed soldier with stone! I am the same guy who wants to  bring JUSTICE to Palestine, I am the same fighter who wants to kicked Israel out of south Lebonon in the same way of the  1982. I am the son of KHOMEINI. I am honored to be a HEZBULLAH.... Don't you know me!!!? Just ask Rabin he knows me!   Hamid ",0
misc.forsale,"For Sale ...:           Hewlett Packard DeskJet 500 inkjet printer.           o Perfect condition both internally and externally         o Comes with two FULL ink cartridges         o Less than six months old         o Comes with all original packaging, manuals, cables           and software           This is truly an excellent printer and is the low-cost         alternative to a laser printer.  It prints with the         quality of a laser printer, but for a fraction of both         the inital cost and he long term cost (that is,         replacement of ink cartridges as opposed to replacement         of toner).  The printer prints at a maximum of 300*300         (D)ots (P)er (I)nch (D.P.I.) on many different types         and sizes of paper, including envelopes and         transperencies.  Printer prints in both landscape and         portrait modes.  Printer can accept up to two         cartridges giving it things like more memory or         additional fonts.  Printer works excellently with         Windows and DOS and brings TrueType to its full         potential.           I originally purchased the printer for $375.00.  Make me         an offer, but I would prefer to stay in the $300.00         range.  I will pay the shipping to anywhere in the          continental U.S.A.           If you are interested, please either leave me email or         call Kirk Peterson at (303) 494-7951 anytime.           Thanks!   ",1
misc.forsale,"Article #61214 (61317 is last): From: arnolm2@aix.rpi.edu (Matthew Richard Arnold) Subject: DX50 vs DX266 Date: Wed Apr 21 19:55:12 1993   Would someone be willing to explain to me the 486DX 50MHz is not more popular than it is?  I would think it would be just as fast, if not  faster than the 486DX 66MHz for certian applications.  Plus, a 50MHz  motherboard would seem better if you had any plans on upgrading the chip in the future.  I must be missing something, since everyone is  buying the DX2 66...  Many adds don't even mention the DX 50.   Thanks a lot,    -Matt  End of File, Press RETURN to quit  Yes its realy simple, no one makes a mother board that runs the bus at more than 33MHZ....Sam",0
misc.forsale,"[ Article crossposted from misc.forsale.computers.pc-clone ] [ Author was Mark Wilson ] [ Posted on Fri, 16 Apr 1993 13:18:42 GMT ]  UPDATE (""for sale"" items): (All plus shipping)  1. CORE 72Mb Hard drive, model AT72, works fine,         5 1/4"" full-height, reduced to $90  2. MFM controller for the above, would like to sell         with above, have $15 asking price,         but will sell with #1 above for $100 combined.  3. AT-style case $10 (in process of selling)  4. VGA card, 512K, now asking $25  5. 386 Max, version 6.0, now asking $25  Please email mark@ocsmd.ocs.com or use phone #s below.  - Mark -- ------------------------------------------------------------------------------- Mark Wilson, Online Computer Systems.  1-800-922-9204 or 1-301-601-2215 (Try email address mark@ocsmd.ocs.com....) This file .disclaims everything signed with my .signature, I .mean it! -------------------------------------------------------------------------------  -- ------------------------------------------------------------------------------- Mark Wilson, Online Computer Systems.  1-800-922-9204 or 1-301-601-2215 (Try email address mark@ocsmd.ocs.com....) This file .disclaims everything signed with my .signature, I .mean it!",1
misc.forsale," I asked some simple questions at different occations. I don't understand why some people insulted me for those SIMPLE questions! Anyway, I didn't reply to them with the same language and I won't, because  1. There is no need 2. There is no benefit  3. I don't have time  to reply to those garbages  By the way, do you want to know who am I? I am not a NATIONALIST Arab of 1967.  I am not a COMONIST Arab of 70's. Are you sure that you want to hear  my name? I am a MUSLIM FIGHTER. I am the same child who  fight with your armed soldier with stone! I am the same guy who wants to  bring JUSTICE to Palestine, I am the same fighter who wants to kicked Israel out of south Lebonon in the same way of the  1982. I am the son of KHOMEINI. I am honored to be a HEZBULLAH.... Don't you know me!!!? Just ask Rabin he knows me!   Hamid ",0
misc.forsale," [advertises his printing business]  Oh, dear.  Let me be the first on my block.  You have just violated one of the major shibboleths of the Usenet groups: you're not supposed to use a newsgroup to plug your own commercial enterprise (of _any_ kind; people frequently get flamed for announcing they've got a new book out.)  I don't know whether this is an official Usenet rule or just a long- standing custom, and it doesn't make much difference from a practical point of view.  So please don't do it again.  And all you others, who are even now taking keyboard in hand to flame him off the face of the earth--lay off.  He didn't know any better. He does now.   Dorothy J. Heydt UC Berkeley cozzlab@garnet.berkeley.edu",1
misc.forsale,"My girlfriend just started taking this drug for her migranes.  It really helped her get through the rebound withdrawl when she got off analgesics.  She doesn't have a mail account, but asked me to forward this:  ""Glaxo is the distributor; Imitrex is the drug's brand name.  It works.  She can call her pharmacy for more info. The ""miracle"" drug has been used for years in Europe and for some time in Canada.  Trials in the U.S. were completed and the drug hit the US market at the end of March.  Some pharmacies don't stock it yet.  Presently it needs to be injected subcutaneously; although testing is starting with a nasal spray form.  It mimics serotonin (its molecular structure that fits onto pain receptors looks identical to serotonin on a model I saw)""",0
