query,doc,label
comp.windows.x,"I have found a situation which I think is a bug in X or Motif, but I'm hoping is really just a mistake on my part.  Does anyone know anything about this problem........  - I am using an XmTextField, and setting its XmNvalue to a hardcoded   text string (ascii or Kanji) either via XtSetValues or XmTextSetString.   The problem is that when the XmTextField is displayed, the text is getting   truncated, depending on the setting of the environment variables   LANG (more specifically LC_ALL).  When they are set to japanese,   the text gets truncated.  When they are set to english, everything   works fine.  I am taking the default for XmNcolumns.   (Please note that hardcoding of text is NOT done in my actual    application, just in my sample code to make things easier) 	 - I am running Motif 1.2, X11R5 via HPUX9.01.  My test program is set up   to handle 16 bit Kanji characters.  I have remembered to do      XtSetLanguageProc() prior to my MrmInitialize and my font resources   are set to japanese fonts.  - Don't know if this matters, but my dialog box and TextField is initially   created with UIL.    The problem does NOT happen with XmText.  Unfortunately substituting XmTextFields with XmTexts in my application is not an acceptable alternative (way too much code to be modified while in beta!)  I have a small test program which illustrates the problem if anyone wants it.  My best guess is that either the X code or Motif is not properly allocating memory for japanese, but since I don't have the source to look at it is just a guess.  Please let me know if this sounds familiar, or if you have a suggestion, or if you want the sample program.  THANKS!!!!!!!!  - Susan ",1
comp.windows.x,,0
soc.religion.christian,"    In a word, yes.  I don't believe that physical knowledge has a great deal of impact on the power of God.  In the past, God gave us the ability to create life through sexual relations.  Now, he is giving us the ability to create life through in vitro fertilization.  The difference between the two is merely  cosmetic, and even if we gain the ability to create universes we won't begin to approach the glory of God.   The power we are being given is a test, and I am sure that in many cases we will use our new abilities unwisely.  But, people have been using sexuality unwisely for millenia and I haven't heard an outcry to abolish it yet!   No matter how far we extend our dominion over the physical world, we aren't impinging on God's power.  It's only when we attempt to gain control of the spiritual world, those things that can't be approached through science and  logic, that we begin to interfere with God.",1
soc.religion.christian,"Is anyone out there knowledgeable on drug issues in Japan?  I'm interested in knowing if Japan has or has ever had a problem with drugs, and how they dealt with it.  I've heard, undocumented, that Japan years ago used heavy legal penalties to end a serious heroin problem.  I'd like to know both sides of the story.  Does anyone recall such a problem?  What were laws at the time relating to drug use, drug dealing, and drug trafficking?  What are the laws now?  What other anti-drug measures, like education and treatment has Japan used?  How are drugs regarded by the Japanese people?  How effective have anti-drug measures been in Japan?  Thanks for your help. ",0
comp.sys.mac.hardware,"I haven't seen much info about how to add an extra internal disk to a mac. We would like to try it, and I wonder if someone had some good advice.  We have a Mac IIcx with the original internal Quantum 40MB hard disk, and an unusable floppy drive. We also have a new spare Connor 40MB disk which we would like to use. The idea is to replace the broken floppy drive with the new hard disk, but there seems to be some problems:  The internal SCSI cable and power cable inside the cx has only connectors for one single hard disk drive.  If I made a ribbon cable and a power cable with three connectors each (1 for motherboard, 1 for each of the 2 disks), would it work?  Is the IIcx able to supply the extra power to the extra disk?  What about terminators? I suppose that i should remove the resistor packs from the disk that is closest to the motherboard, but leave them installed in the other disk.  The SCSI ID jumpers should also be changed so that the new disk gets ID #1. The old one should have ID #0.  It is no problem for us to remove the floppy drive, as we have an external floppy that we can use if it won't boot of the hard disk.  Thank you! ",1
comp.sys.mac.hardware,"Smith Corona Typewriter for sale,          Model SCM 70 electric.  Great for forms, envelopes, labels, small things, etc. that you just can't do with your microcomputer.  Built like a tank, but not big nor that heavy.  A classic compact electric, with padded storage bag.  No scratches, enamel paint chips or dents.  Cloth ribbon, 2 colours.  Will accept best offer near $70.  (Selling for a friend, so these are her instructions not mine. RSVP to this account, though.  Make any other offers anyways, I'll pass them along.  A single sheet-feeder for the Macintosh Imagewriter II would be acceptable in trade, for example.)  gld",0
alt.atheism,  It only falls apart if you attempt to apply it.  This doesn't mean that an objective system can't exist.  It just means that one cannot be implemented.,1
alt.atheism,"  This doesn't work, due to the near-field far-field effect. You may stop someone five yards away from listening in, but someone fifty yards away will be relatively unaffected - unless you pump out hundreds of watts and jam all  the neighbourhood TV's as well. In that case the government will stomp on you - ask any radio ham! Democratic governments care even more about their voters'  right to watch soap operas than they do about national security, and dictators  consider their propaganda to be an integral part of their national security.    I'm afraid this doesn't work either. We can pick up laptop screens without any problem.  Most of the so-called `low radiation' monitors are also useless. The description turns out to a marketing assertion rather than an engineering one.  We thought there might be a market for a monitor which was not as hugely expensive as the military Tempest kit, but which was well enough shielded to stop eavesdropping using available receivers. We built a prototype, it works, and it's still sitting on my lab bench. Commercial interest was exactly zero.  In the absence of open standards, a monitor which really is `low radiation' (and costs 500 dollars more) can't compete against a monitor which just claims to be `low radiation' (and whose only extra cost of production is the pretty blue sticker on the box).",0
rec.autos," Ah, we are looking for good people just like you. We are a very concerned group of citizens who are absolutely disgusted at the way that the majority of drivers simply disobey traffic rules like going above the speed limit, passing on our right, and riding our tails, while all the while we respectfully abide by the rules of this great country and maintain the mandated speed limits with our calibrated, certified cruise controls, while keeping the respectful 1.5 car length distance/10 mph speed. How many times have you been ticked off by some moron who jumps ahead in the (5.5 * 1.5)8.25 car lengths  that you have left between you and the vehicle ahead of you while driving 55 mph? Finally you have an option. We are a totally member supported group that perform functions for our own good, for the good of this great country  but MOST of all for those unfortunate ones that are too stupid to realize it, bless their souls. For a paltry $10, you can join Citizens for Rationally  Advanced Piloting(C.R.A.P), a non-profit, members only, society. But, but,but, there is a slight hitch, the initiation rite. To be a full fledged member of this exclusive club, you must proof that you are able to be in the fast lane of the busiest interstate in your area, keep the correct 1.5 car lenth/10 mph speedand I know this can be difficult with those morons around, NOT let anybody pass you, not in the next lane, not in the slow lane, not in the breakdown lane, not NOWHERE. For a complete list of acceptable interstates and times, send $5. And by the way, over 90% of our members are highly regarded attorneys in the auto field and they are completely, absolutely positively in the business ONLY to serve your best interests. As a testament to their virtues, they will give members 90% off the initial consultation fee. Feel free to drop me a line at your earliest convenience and remember, only SPEED kills!",1
rec.autos,"I have found a situation which I think is a bug in X or Motif, but I'm hoping is really just a mistake on my part.  Does anyone know anything about this problem........  - I am using an XmTextField, and setting its XmNvalue to a hardcoded   text string (ascii or Kanji) either via XtSetValues or XmTextSetString.   The problem is that when the XmTextField is displayed, the text is getting   truncated, depending on the setting of the environment variables   LANG (more specifically LC_ALL).  When they are set to japanese,   the text gets truncated.  When they are set to english, everything   works fine.  I am taking the default for XmNcolumns.   (Please note that hardcoding of text is NOT done in my actual    application, just in my sample code to make things easier) 	 - I am running Motif 1.2, X11R5 via HPUX9.01.  My test program is set up   to handle 16 bit Kanji characters.  I have remembered to do      XtSetLanguageProc() prior to my MrmInitialize and my font resources   are set to japanese fonts.  - Don't know if this matters, but my dialog box and TextField is initially   created with UIL.    The problem does NOT happen with XmText.  Unfortunately substituting XmTextFields with XmTexts in my application is not an acceptable alternative (way too much code to be modified while in beta!)  I have a small test program which illustrates the problem if anyone wants it.  My best guess is that either the X code or Motif is not properly allocating memory for japanese, but since I don't have the source to look at it is just a guess.  Please let me know if this sounds familiar, or if you have a suggestion, or if you want the sample program.  THANKS!!!!!!!!  - Susan ",0
